Place,Name,Birdie,Par,Bogey,Fairway,Parked,Circle1InReg,Circle2InReg,Scramble,Circle1XPutting,Circle2Putting,ThrowInRate,OBRate,Points
1,Ricky Wysocki,0.46,0.43,0.09,0.75,0.16,0.47,0.67,0.64,0.86,0.23,0.01,0.082,676.83
2,Calvin Heimburg,0.43,0.44,0.11,0.76,0.12,0.43,0.69,0.54,0.82,0.26,0.007,0.099,659.63
3,Gannon Buhr,0.42,0.49,0.07,0.74,0.11,0.38,0.64,0.67,0.88,0.34,0.007,0.072,639.63
4,Chris Dickerson,0.46,0.45,0.07,0.8,0.14,0.49,0.71,0.6,0.84,0.23,0.004,0.08,559.4
5,Paul McBeth,0.43,0.44,0.09,0.73,0.12,0.4,0.64,0.56,0.89,0.29,0.016,0.104,556.38
6,James Conrad,0.4,0.48,0.1,0.76,0.11,0.42,0.65,0.55,0.83,0.24,0.005,0.103,490.5
7,Simon Lizotte,0.41,0.45,0.09,0.75,0.15,0.43,0.66,0.6,0.83,0.23,0.006,0.095,463.75
8,Joel Freeman,0.36,0.53,0.09,0.74,0.1,0.38,0.63,0.57,0.84,0.24,0.011,0.097,431.63
9,Kyle Klein,0.41,0.45,0.1,0.73,0.13,0.41,0.63,0.53,0.85,0.28,0.007,0.105,403.75
10,Kevin Jones,0.37,0.48,0.11,0.71,0.11,0.37,0.62,0.52,0.85,0.25,0.011,0.117,369.35
11,Chris Clemons,0.34,0.54,0.1,0.73,0.07,0.32,0.58,0.52,0.87,0.27,0,0.081,361.49
12,Ezra Aderhold,0.39,0.43,0.13,0.75,0.12,0.44,0.66,0.44,0.74,0.27,0.007,0.106,359.74
13,Corey Ellis,0.4,0.43,0.12,0.69,0.09,0.34,0.59,0.54,0.86,0.36,0.009,0.126,338.52
14,Aaron Gossage,0.37,0.45,0.13,0.7,0.12,0.41,0.61,0.57,0.77,0.24,0.009,0.108,333.7
15,Matthew Orum,0.42,0.49,0.08,0.74,0.11,0.38,0.61,0.62,0.87,0.33,0.007,0.076,322.13
16,Nikko Locastro,0.38,0.51,0.09,0.76,0.11,0.41,0.66,0.57,0.78,0.22,0.006,0.069,321.88
17,Isaac Robinson,0.44,0.44,0.09,0.76,0.12,0.4,0.64,0.58,0.91,0.3,0.01,0.072,314.95
18,Adam Hammes,0.42,0.44,0.11,0.7,0.12,0.38,0.6,0.5,0.87,0.32,0.003,0.088,306.54
19,Bradley Williams,0.36,0.52,0.1,0.7,0.11,0.38,0.59,0.52,0.8,0.19,0.004,0.103,305.5
20,Drew Gibson,0.42,0.41,0.14,0.72,0.13,0.4,0.63,0.45,0.84,0.31,0.008,0.163,301.25
21,Garrett Gurthie,0.36,0.5,0.12,0.76,0.13,0.4,0.64,0.47,0.77,0.16,0,0.108,293.5
22,Mason Ford,0.33,0.54,0.12,0.72,0.08,0.34,0.56,0.48,0.84,0.19,0.003,0.093,287.75
23,Alden Harris,0.33,0.54,0.11,0.71,0.11,0.32,0.57,0.52,0.85,0.23,0.005,0.084,268.58
24,Emerson Keith,0.35,0.5,0.12,0.7,0.1,0.39,0.59,0.47,0.78,0.21,0.003,0.102,253.07
25,Albert Tamm,0.37,0.48,0.12,0.73,0.12,0.44,0.66,0.45,0.73,0.13,0.003,0.113,252.65
26,Thomas Gilbert,0.36,0.47,0.14,0.68,0.09,0.36,0.57,0.49,0.84,0.31,0.003,0.125,244.26
27,Jeremy Koling,0.34,0.51,0.13,0.66,0.11,0.36,0.54,0.56,0.82,0.22,0.006,0.132,231.17
28,Luke Humphries,0.35,0.46,0.15,0.67,0.1,0.35,0.55,0.46,0.8,0.3,0.009,0.122,225.71
29,Chandler Fry,0.35,0.49,0.12,0.68,0.08,0.32,0.55,0.47,0.83,0.31,0.005,0.103,218.8
30,Connor O'Reilly,0.33,0.51,0.14,0.7,0.08,0.35,0.57,0.46,0.81,0.21,0.009,0.107,209.82
31,Gregg Barsby,0.37,0.47,0.14,0.7,0.11,0.35,0.57,0.51,0.83,0.3,0.009,0.122,203.5
32,Casey White,0.34,0.49,0.14,0.73,0.09,0.35,0.59,0.42,0.78,0.26,0.006,0.103,199.42
33,Austin Hannum,0.35,0.47,0.14,0.7,0.12,0.38,0.58,0.43,0.75,0.22,0.003,0.1,193.76
34,Anthony Barela,0.39,0.45,0.11,0.67,0.1,0.39,0.64,0.51,0.81,0.27,0,0.157,188.18
35,Gavin Babcock,0.32,0.51,0.12,0.69,0.08,0.29,0.54,0.46,0.82,0.28,0.006,0.118,174.74
36,Luke Samson,0.32,0.52,0.14,0.72,0.08,0.33,0.58,0.37,0.78,0.23,0.004,0.101,168.3
37,Brodie Smith,0.36,0.46,0.14,0.7,0.11,0.37,0.58,0.45,0.76,0.28,0.002,0.116,165.99
38,Andrew Presnell,0.33,0.52,0.14,0.73,0.09,0.34,0.59,0.45,0.83,0.16,0.005,0.088,163
39,Nate Sexton,0.3,0.58,0.11,0.74,0.08,0.34,0.56,0.48,0.8,0.18,0,0.103,161.5
40,Alex Russell,0.32,0.55,0.12,0.68,0.09,0.32,0.5,0.49,0.85,0.26,0.011,0.062,153.13
41,Linus Carlsson,0.31,0.54,0.13,0.69,0.09,0.32,0.55,0.48,0.85,0.24,0.003,0.097,146.24
42,Lauri Lehtinen,0.33,0.53,0.13,0.72,0.11,0.34,0.57,0.53,0.81,0.17,0.002,0.085,143.63
43,Cale Leiviska,0.36,0.55,0.08,0.75,0.08,0.4,0.64,0.6,0.8,0.2,0.006,0.056,142.73
44,Andrew Marwede,0.36,0.51,0.11,0.68,0.07,0.31,0.54,0.6,0.89,0.36,0.007,0.093,131.88
45,Cole Redalen,0.41,0.43,0.12,0.75,0.1,0.42,0.65,0.46,0.76,0.26,0.004,0.106,130.51
46,GT Hancock,0.35,0.45,0.14,0.74,0.1,0.37,0.58,0.32,0.75,0.33,0.002,0.096,127.88
47,Chandler Kramer,0.31,0.53,0.11,0.73,0.08,0.32,0.55,0.51,0.73,0.25,0.01,0.115,124.56
48,Ben Callaway,0.36,0.46,0.15,0.73,0.1,0.34,0.59,0.4,0.81,0.24,0.006,0.089,124.38
49,Väinö Mäkelä,0.31,0.53,0.14,0.69,0.09,0.32,0.55,0.48,0.82,0.19,0.002,0.1,123.27
50,Jake Hebenheimer,0.36,0.46,0.16,0.74,0.12,0.41,0.62,0.46,0.71,0.19,0,0.111,123
51,Matt Bell,0.3,0.53,0.13,0.68,0.09,0.29,0.54,0.49,0.82,0.27,0.013,0.155,116.46
52,Scott Withers,0.33,0.53,0.12,0.67,0.08,0.33,0.54,0.55,0.83,0.23,0.006,0.075,115.21
53,Eric Oakley,0.31,0.5,0.16,0.69,0.07,0.31,0.53,0.46,0.85,0.2,0.003,0.118,114.25
54,Ezra Robinson,0.36,0.48,0.13,0.76,0.1,0.36,0.65,0.57,0.84,0.19,0.007,0.087,111.17
55,Colten Montgomery,0.32,0.5,0.13,0.72,0.08,0.32,0.58,0.41,0.86,0.17,0.004,0.085,110.87
56,Niklas Anttila,0.36,0.42,0.18,0.74,0.11,0.37,0.58,0.41,0.78,0.17,0,0.114,109.75
57,AJ Carey,0.29,0.52,0.15,0.66,0.07,0.32,0.53,0.55,0.8,0.2,0.004,0.118,105.75
58,Tristan Tanner,0.37,0.4,0.17,0.71,0.11,0.35,0.59,0.4,0.8,0.27,0.009,0.122,101.85
